Screenshot-NIKKE(WIFI)-20250524193714_group1_Power.png	2 3 8 4 1 9 8
Screenshot-NIKKE(WIFI)-20250524193714_group1_Ranking.png	4 5
Screenshot-NIKKE(WIFI)-20250524193714_group1_CommanderLevel.png	5 2 6
Screenshot-NIKKE(WIFI)-20250524193714_group1_SynchroLevel.png	4 2 9
Screenshot-NIKKE(WIFI)-20250524193714_group2_Power.png	2 1 8 7 2 7 4
Screenshot-NIKKE(WIFI)-20250524193714_group2_Ranking.png	6 0
Screenshot-NIKKE(WIFI)-20250524193714_group2_CommanderLevel.png	4 7 4
Screenshot-NIKKE(WIFI)-20250524193714_group2_SynchroLevel.png	4 1 4
Screenshot-NIKKE(WIFI)-20250524193714_group3_Power.png	1 9 2 5 8 6 3
Screenshot-NIKKE(WIFI)-20250524193714_group3_Ranking.png	6 7
Screenshot-NIKKE(WIFI)-20250524193714_group3_CommanderLevel.png	5 6 9
Screenshot-NIKKE(WIFI)-20250524193714_group3_SynchroLevel.png	4 4 0
Screenshot-NIKKE(WIFI)-20250524193723_group1_Power.png	2 3 8 4 5 0 5
Screenshot-NIKKE(WIFI)-20250524193723_group1_Ranking.png	4 6
Screenshot-NIKKE(WIFI)-20250524193723_group1_CommanderLevel.png	5 5 9
Screenshot-NIKKE(WIFI)-20250524193723_group1_SynchroLevel.png	4 6 5
Screenshot-NIKKE(WIFI)-20250524193723_group2_Power.png	2 1 2 5 1 0 8
Screenshot-NIKKE(WIFI)-20250524193723_group2_Ranking.png	5 6
Screenshot-NIKKE(WIFI)-20250524193723_group2_CommanderLevel.png	5 7 6
Screenshot-NIKKE(WIFI)-20250524193723_group2_SynchroLevel.png	4 1 9
Screenshot-NIKKE(WIFI)-20250524193723_group3_Power.png	1 8 7 6 6 4 2
Screenshot-NIKKE(WIFI)-20250524193723_group3_Ranking.png	7 0
Screenshot-NIKKE(WIFI)-20250524193723_group3_CommanderLevel.png	5 1 1
Screenshot-NIKKE(WIFI)-20250524193723_group3_SynchroLevel.png	3 8 3
Screenshot-NIKKE(WIFI)-20250524193730_group1_Power.png	2 8 4 2 0 0 4
Screenshot-NIKKE(WIFI)-20250524193730_group1_Ranking.png	5 0
Screenshot-NIKKE(WIFI)-20250524193730_group1_CommanderLevel.png	5 5 6
Screenshot-NIKKE(WIFI)-20250524193730_group1_SynchroLevel.png	4 5 3
Screenshot-NIKKE(WIFI)-20250524193730_group2_Power.png	2 0 6 9 8 2 1
Screenshot-NIKKE(WIFI)-20250524193730_group2_Ranking.png	5 9
Screenshot-NIKKE(WIFI)-20250524193730_group2_CommanderLevel.png	5 1 8
Screenshot-NIKKE(WIFI)-20250524193730_group2_SynchroLevel.png	4 1 4
Screenshot-NIKKE(WIFI)-20250524193730_group3_Power.png	1 8 7 6 6 4 2
Screenshot-NIKKE(WIFI)-20250524193730_group3_Ranking.png	7 0
Screenshot-NIKKE(WIFI)-20250524193730_group3_CommanderLevel.png	5 1 1
Screenshot-NIKKE(WIFI)-20250524193730_group3_SynchroLevel.png	3 8 3
Screenshot-NIKKE(WIFI)-20250524193738_group1_Power.png	2 3 8 4 5 0 5
Screenshot-NIKKE(WIFI)-20250524193738_group1_Ranking.png	4 6
Screenshot-NIKKE(WIFI)-20250524193738_group1_CommanderLevel.png	5 5 9
